pim_id;artikelnummer;gtin;name;glb_file;glb_path;glb_source;match_type
26478;20051059;4026212056846;;4026212056846_20051059_RAL_KOMB.glb;models/output/4026212056846_20051059_RAL_KOMB.glb;output;gtin
26479;20095843;4026212266184;MULTIPAL U-Rammschutz 400 mm hoch RAL 9004/RAL 1003 inkl. 4 Schraubankern;4026212266184_20095843_RAL_KOMB.glb;models/output/4026212266184_20095843_RAL_KOMB.glb;output;gtin
27865;20010018;4026212000054;CLIP Rahmen | VW2 N | 2000 x 800 mm | verzinkt;4026212000054_20010018_VZK.glb;models/output/4026212000054_20010018_VZK.glb;output;gtin
27866;20010023;4026212000085;;20010023_VZK.glb;models/output/20010023_VZK.glb;output;artikelnummer
27868;20057;4026212072402;;4026212072402_20057_VZK.glb;models/output/4026212072402_20057_VZK.glb;output;gtin
27891;20058;4026212073997;;4026212073997_20058_VZK.glb;models/output/4026212073997_20058_VZK.glb;output;gtin
40145;20010037;4026212000108;;20010037_VZK.glb;models/output/20010037_VZK.glb;output;artikelnummer
40146;20010042;4026212000122;;20010042_VZK.glb;models/output/20010042_VZK.glb;output;artikelnummer
40147;20010053;4026212000139;;20010053_VZK.glb;models/output/20010053_VZK.glb;output;artikelnummer
40148;20010095;4026212000269;;4026212000269_20010095_VZK.glb;models/output/4026212000269_20010095_VZK.glb;output;gtin
40149;20010115;4026212000306;;20010115_VZK.glb;models/output/20010115_VZK.glb;output;artikelnummer
40150;20010122;4026212000320;;20010122_VZK.glb;models/output/20010122_VZK.glb;output;artikelnummer
40151;20010127;4026212000337;;20010127_VZK.glb;models/output/20010127_VZK.glb;output;artikelnummer
40152;20010141;4026212000351;;20010141_VZK.glb;models/output/20010141_VZK.glb;output;artikelnummer
40153;20010197;4026212000382;;4026212000382_20010197_VZK.glb;models/output/4026212000382_20010197_VZK.glb;output;gtin
40154;20010216;4026212000412;;20010216_VZK.glb;models/output/20010216_VZK.glb;output;artikelnummer
40155;20010232;4026212000429;;20010232_VZK.glb;models/output/20010232_VZK.glb;output;artikelnummer
40156;20010239;4026212000436;;20010239_VZK.glb;models/output/20010239_VZK.glb;output;artikelnummer
40157;20010247;4026212000443;;20010247_VZK.glb;models/output/20010247_VZK.glb;output;artikelnummer
40158;20010262;4026212000658;;20010262_VZK.glb;models/output/20010262_VZK.glb;output;artikelnummer
40159;20010339;4026212001358;;20010339_VZK.glb;models/output/20010339_VZK.glb;output;artikelnummer
40160;20010348;4026212001389;;20010348_VZK.glb;models/output/20010348_VZK.glb;output;artikelnummer
40161;20010362;4026212001440;;20010362_VZK.glb;models/output/20010362_VZK.glb;output;artikelnummer
40162;20010370;4026212001488;;20010370_VZK.glb;models/output/20010370_VZK.glb;output;artikelnummer
40163;20010400;4026212001631;;20010400_VZK.glb;models/output/20010400_VZK.glb;output;artikelnummer
40164;20010413;4026212001655;;4026212001655_20010413_VZK.glb;models/output/4026212001655_20010413_VZK.glb;output;gtin
40165;20010421;4026212001686;;4026212001686_20010421_VZK.glb;models/output/4026212001686_20010421_VZK.glb;output;gtin
40166;20010424;4026212001693;;4026212001693_20010424_VZK.glb;models/output/4026212001693_20010424_VZK.glb;output;gtin
40167;20010428;4026212001709;;4026212001709_20010428_VZK.glb;models/output/4026212001709_20010428_VZK.glb;output;gtin
40168;20010444;4026212001716;;4026212001716_20010444_VZK.glb;models/output/4026212001716_20010444_VZK.glb;output;gtin
40175;200109307;4026212003260;META MULTIPAL | Schwere Tiefenauflage | 800 mm | 1500 kg | RAL 2001;4026212003260_200109307_RAL_2001.glb;models/output/4026212003260_200109307_RAL_2001.glb;output;gtin
40189;200130140;4026212007886;META MULTIPAL | Schwere Tiefenauflage | 1100 mm | 1500 kg | RAL 2001;4026212007886_200130140_RAL_2001.glb;models/output/4026212007886_200130140_RAL_2001.glb;output;gtin
40241;20014904;4026212012323;META CLIP | Draht-Rückwand | 2000 x 1000 mm | inkl. Befestigung | verzinkt;4026212012323_20014904_VZK.glb;models/output/4026212012323_20014904_VZK.glb;output;gtin
40242;20014905;4026212012330;META CLIP | Draht-Rückwand | 2500 x 1000 mm | inkl. Befestigung | verzinkt;4026212012330_20014905_VZK.glb;models/output/4026212012330_20014905_VZK.glb;output;gtin
40243;20014906;4026212012354;META CLIP | Draht-Rückwand | 3000 x 1000 mm | inkl. Befestigung | verzinkt;4026212012354_20014906_VZK.glb;models/output/4026212012354_20014906_VZK.glb;output;gtin
40280;2001620;4026212018042;;4026212018042_2001620_VZK.glb;models/output/4026212018042_2001620_VZK.glb;output;gtin
40282;2001624;4026212018257;;4026212018257_2001624_VZK.glb;models/output/4026212018257_2001624_VZK.glb;output;gtin
40283;20016258;4026212018363;;4026212018363_20016258_VZK.glb;models/output/4026212018363_20016258_VZK.glb;output;gtin
40284;20016259;4026212018387;;4026212018387_20016259_VZK.glb;models/output/4026212018387_20016259_VZK.glb;output;gtin
40286;20016260;4026212018417;;4026212018417_20016260_VZK.glb;models/output/4026212018417_20016260_VZK.glb;output;gtin
40287;20016261;4026212018424;;4026212018424_20016261_VZK.glb;models/output/4026212018424_20016261_VZK.glb;output;gtin
40288;2001628;4026212018509;;4026212018509_2001628_VZK.glb;models/output/4026212018509_2001628_VZK.glb;output;gtin
40290;2001632;4026212019162;;4026212019162_2001632_VZK.glb;models/output/4026212019162_2001632_VZK.glb;output;gtin
40291;2001634;4026212020366;;4026212020366_2001634_VZK.glb;models/output/4026212020366_2001634_VZK.glb;output;gtin
40293;2001638;4026212024388;;4026212024388_2001638_VZK.glb;models/output/4026212024388_2001638_VZK.glb;output;gtin
40295;2001642;4026212025231;;4026212025231_2001642_VZK.glb;models/output/4026212025231_2001642_VZK.glb;output;gtin
40302;2001694;4026212036336;META CLIP | Diagonalstab | für Regalbreite 1000 mm| verzinkt;4026212036336_2001694_VZK.glb;models/products/4026212036336_2001694_VZK.glb;products;gtin
40304;200170830;4026212042436;;4026212042436_200170830_RAL_1003.glb;models/output/4026212042436_200170830_RAL_1003.glb;output;gtin
40305;200170831;4026212042443;;4026212042443_200170831_RAL_1003.glb;models/output/4026212042443_200170831_RAL_1003.glb;output;gtin
40306;200170832;4026212042450;;4026212042450_200170832_RAL_1003.glb;models/output/4026212042450_200170832_RAL_1003.glb;output;gtin
40310;2001946;4026212044539;META CLIP | Diagonalstab | für Regalbreite 1300 mm| verzinkt;4026212044539_2001946_VZK.glb;models/output/4026212044539_2001946_VZK.glb;output;gtin
40323;200216;4026212045253;;4026212045253_200216_VZK.glb;models/output/4026212045253_200216_VZK.glb;output;gtin
40334;200218;4026212045369;;4026212045369_200218_VZK.glb;models/output/4026212045369_200218_VZK.glb;output;gtin
40340;200219;4026212045420;;4026212045420_200219_VZK.glb;models/output/4026212045420_200219_VZK.glb;output;gtin
40349;200223;4026212045642;;4026212045642_200223_VZK.glb;models/output/4026212045642_200223_VZK.glb;output;gtin
40351;200225;4026212045710;;4026212045710_200225_VZK.glb;models/output/4026212045710_200225_VZK.glb;output;gtin
40353;200227;4026212045826;;4026212045826_200227_VZK.glb;models/output/4026212045826_200227_VZK.glb;output;gtin
40355;200229;4026212045949;;4026212045949_200229_VZK.glb;models/output/4026212045949_200229_VZK.glb;output;gtin
40396;200266;4026212046908;;4026212046908_200266_VZK.glb;models/output/4026212046908_200266_VZK.glb;output;gtin
40397;200267;4026212046915;;4026212046915_200267_VZK.glb;models/output/4026212046915_200267_VZK.glb;output;gtin
40398;200268;4026212046922;;4026212046922_200268_VZK.glb;models/output/4026212046922_200268_VZK.glb;output;gtin
40399;200269;4026212046939;;4026212046939_200269_VZK.glb;models/output/4026212046939_200269_VZK.glb;output;gtin
40400;200271;4026212046946;;4026212046946_200271_VZK.glb;models/output/4026212046946_200271_VZK.glb;output;gtin
40401;200272;4026212046953;;4026212046953_200272_VZK.glb;models/output/4026212046953_200272_VZK.glb;output;gtin
40402;200273;4026212046977;;4026212046977_200273_VZK.glb;models/output/4026212046977_200273_VZK.glb;output;gtin
40403;200274;4026212046991;;4026212046991_200274_VZK.glb;models/output/4026212046991_200274_VZK.glb;output;gtin
40404;200276;4026212047059;;4026212047059_200276_VZK.glb;models/output/4026212047059_200276_VZK.glb;output;gtin
40405;200277;4026212047066;;4026212047066_200277_VZK.glb;models/output/4026212047066_200277_VZK.glb;output;gtin
40406;200278;4026212047073;;4026212047073_200278_VZK.glb;models/output/4026212047073_200278_VZK.glb;output;gtin
