glb_file;source;artikelnummer;gtin;suffix
-_VZK.glb;output;;;
10023_VZK.glb;output;10023;;VZK
183645_VZK.glb;output;183645;;VZK
20010067_VZK.glb;output;20010067;;VZK
20010107_VZK.glb;output;20010107;;VZK
200170833_VZK.glb;output;200170833;;VZK
200171981_VZK.glb;output;200171981;;VZK
200173283_VZK.glb;output;200173283;;VZK
200173893_VZK.glb;output;200173893;;VZK
200173931_VZK.glb;output;200173931;;VZK
200175794_VZK.glb;output;200175794;;VZK
200175795_VZK.glb;output;200175795;;VZK
200175799_VZK.glb;output;200175799;;VZK
200175801_VZK.glb;output;200175801;;VZK
200175808_VZK.glb;output;200175808;;VZK
200178212_VZK.glb;output;200178212;;VZK
200178213_VZK.glb;output;200178213;;VZK
200178215_VZK.glb;output;200178215;;VZK
200178216_VZK.glb;output;200178216;;VZK
200178217_VZK.glb;output;200178217;;VZK
200178377_VZK.glb;output;200178377;;VZK
200179707_VZK.glb;output;200179707;;VZK
200180916_VZK.glb;output;200180916;;VZK
200181477_VZK.glb;output;200181477;;VZK
200182014_VZK.glb;output;200182014;;VZK
200182508_VZK.glb;output;200182508;;VZK
200182509_VZK.glb;output;200182509;;VZK
200182513_VZK.glb;output;200182513;;VZK
200182514_VZK.glb;output;200182514;;VZK
200182528_VZK.glb;output;200182528;;VZK
200182529_VZK.glb;output;200182529;;VZK
200182533_VZK.glb;output;200182533;;VZK
200182534_VZK.glb;output;200182534;;VZK
200182538_VZK.glb;output;200182538;;VZK
200182539_VZK.glb;output;200182539;;VZK
200182543_VZK.glb;output;200182543;;VZK
200182544_VZK.glb;output;200182544;;VZK
200182548_VZK.glb;output;200182548;;VZK
200182549_VZK.glb;output;200182549;;VZK
200182553_VZK.glb;output;200182553;;VZK
200182554_VZK.glb;output;200182554;;VZK
200182568_VZK.glb;output;200182568;;VZK
200182569_VZK.glb;output;200182569;;VZK
200182573_VZK.glb;output;200182573;;VZK
200182574_VZK.glb;output;200182574;;VZK
200182578_VZK.glb;output;200182578;;VZK
200182579_VZK.glb;output;200182579;;VZK
200182583_VZK.glb;output;200182583;;VZK
200182584_VZK.glb;output;200182584;;VZK
200183626_VZK.glb;output;200183626;;VZK
200183645_VZK.glb;output;200183645;;VZK
200183695_VZK.glb;output;200183695;;VZK
200183859_VZK.glb;output;200183859;;VZK
200183860_VZK.glb;output;200183860;;VZK
200183861_VZK.glb;output;200183861;;VZK
200183862_VZK.glb;output;200183862;;VZK
200183863_VZK.glb;output;200183863;;VZK
200184025_VZK.glb;output;200184025;;VZK
200184047_VZK.glb;output;200184047;;VZK
200184812_VZK.glb;output;200184812;;VZK
200185635_VZK.glb;output;200185635;;VZK
200186232_VZK.glb;output;200186232;;VZK
200186906_VZK.glb;output;200186906;;VZK
200186945_VZK.glb;output;200186945;;VZK
200187510_VZK.glb;output;200187510;;VZK
200188308_VZK.glb;output;200188308;;VZK
200189129_VZK.glb;output;200189129;;VZK
200189130_VZK.glb;output;200189130;;VZK
200189131_VZK.glb;output;200189131;;VZK
200189132_VZK.glb;output;200189132;;VZK
200189133_VZK.glb;output;200189133;;VZK
200189134_VZK.glb;output;200189134;;VZK
200189135_VZK.glb;output;200189135;;VZK
200189136_VZK.glb;output;200189136;;VZK
200189137_VZK.glb;output;200189137;;VZK
200189138_VZK.glb;output;200189138;;VZK
200189174_VZK.glb;output;200189174;;VZK
200189179_VZK.glb;output;200189179;;VZK
200189180_VZK.glb;output;200189180;;VZK
200189583_VZK.glb;output;200189583;;VZK
200189584_VZK.glb;output;200189584;;VZK
200189670_VZK.glb;output;200189670;;VZK
200189672_VZK.glb;output;200189672;;VZK
200189674_VZK.glb;output;200189674;;VZK
200189676_VZK.glb;output;200189676;;VZK
200189729_VZK.glb;output;200189729;;VZK
200189731_VZK.glb;output;200189731;;VZK
200189733_VZK.glb;output;200189733;;VZK
200189735_VZK.glb;output;200189735;;VZK
200189942_VZK.glb;output;200189942;;VZK
200189944_VZK.glb;output;200189944;;VZK
200189946_VZK.glb;output;200189946;;VZK
200189948_VZK.glb;output;200189948;;VZK
200189953_VZK.glb;output;200189953;;VZK
200189957_VZK.glb;output;200189957;;VZK
200189975_VZK.glb;output;200189975;;VZK
200200198_VZK.glb;output;200200198;;VZK
200200199_VZK.glb;output;200200199;;VZK
200200200_VZK.glb;output;200200200;;VZK
200200201_VZK.glb;output;200200201;;VZK
2002003095_VZK.glb;output;2002003095;;VZK
2002003097_VZK.glb;output;2002003097;;VZK
2002003099_VZK.glb;output;2002003099;;VZK
2002003110_VZK.glb;output;2002003110;;VZK
20020059_VZK.glb;output;20020059;;VZK
20053291_VZK.glb;output;20053291;;VZK
20056720_VZK.glb;output;20056720;;VZK
20057903_VZK.glb;output;20057903;;VZK
20057904_VZK.glb;output;20057904;;VZK
20057905_VZK.glb;output;20057905;;VZK
20057906_VZK.glb;output;20057906;;VZK
20058935_VZK.glb;output;20058935;;VZK
20058936_VZK.glb;output;20058936;;VZK
20059907_VZK.glb;output;20059907;;VZK
20061449_VZK.glb;output;20061449;;VZK
20062423_VZK.glb;output;20062423;;VZK
20062424_VZK.glb;output;20062424;;VZK
20062425_VZK.glb;output;20062425;;VZK
20062426_VZK.glb;output;20062426;;VZK
20062427_VZK.glb;output;20062427;;VZK
20062428_VZK.glb;output;20062428;;VZK
20062434_VZK.glb;output;20062434;;VZK
20062808_VZK.glb;output;20062808;;VZK
20062809_VZK.glb;output;20062809;;VZK
20063096_VZK.glb;output;20063096;;VZK
20063097_VZK.glb;output;20063097;;VZK
20063399_VZK.glb;output;20063399;;VZK
20063709_VZK.glb;output;20063709;;VZK
20064498_VZK.glb;output;20064498;;VZK
20064665_VZK.glb;output;20064665;;VZK
20067736_VZK.glb;output;20067736;;VZK
20067737_VZK.glb;output;20067737;;VZK
20067739_VZK.glb;output;20067739;;VZK
20067744_VZK.glb;output;20067744;;VZK
20067748_VZK.glb;output;20067748;;VZK
20067750_VZK.glb;output;20067750;;VZK
20067755_VZK.glb;output;20067755;;VZK
20067756_VZK.glb;output;20067756;;VZK
20067757_VZK.glb;output;20067757;;VZK
20067759_VZK.glb;output;20067759;;VZK
20067760_VZK.glb;output;20067760;;VZK
20067761_VZK.glb;output;20067761;;VZK
20067762_VZK.glb;output;20067762;;VZK
20067763_VZK.glb;output;20067763;;VZK
20067764_VZK.glb;output;20067764;;VZK
20067765_VZK.glb;output;20067765;;VZK
20067780_VZK.glb;output;20067780;;VZK
20067786_VZK.glb;output;20067786;;VZK
20067787_VZK.glb;output;20067787;;VZK
20068706_VZK.glb;output;20068706;;VZK
20068713_VZK.glb;output;20068713;;VZK
20068716_VZK.glb;output;20068716;;VZK
20068718_VZK.glb;output;20068718;;VZK
20068721_VZK.glb;output;20068721;;VZK
20068724_VZK.glb;output;20068724;;VZK
20068730_VZK.glb;output;20068730;;VZK
20068731_VZK.glb;output;20068731;;VZK
20068732_VZK.glb;output;20068732;;VZK
20068733_VZK.glb;output;20068733;;VZK
20068741_VZK.glb;output;20068741;;VZK
20068742_VZK.glb;output;20068742;;VZK
20068743_VZK.glb;output;20068743;;VZK
20068744_VZK.glb;output;20068744;;VZK
20068747_VZK.glb;output;20068747;;VZK
20068748_VZK.glb;output;20068748;;VZK
20068750_VZK.glb;output;20068750;;VZK
20068752_VZK.glb;output;20068752;;VZK
20068758_VZK.glb;output;20068758;;VZK
20068761_VZK.glb;output;20068761;;VZK
20068792_VZK.glb;output;20068792;;VZK
20068889_VZK.glb;output;20068889;;VZK
20068890_VZK.glb;output;20068890;;VZK
20068893_VZK.glb;output;20068893;;VZK
20068894_VZK.glb;output;20068894;;VZK
20068895_VZK.glb;output;20068895;;VZK
20068896_VZK.glb;output;20068896;;VZK
20068898_VZK.glb;output;20068898;;VZK
20068986_VZK.glb;output;20068986;;VZK
20068992_VZK.glb;output;20068992;;VZK
20068993_VZK.glb;output;20068993;;VZK
20068994_VZK.glb;output;20068994;;VZK
20069016_VZK.glb;output;20069016;;VZK
20077155_VZK.glb;output;20077155;;VZK
20077487_VZK.glb;output;20077487;;VZK
20077488_VZK.glb;output;20077488;;VZK
20077490_VZK.glb;output;20077490;;VZK
20077716_VZK.glb;output;20077716;;VZK
20077717_VZK.glb;output;20077717;;VZK
20077721_VZK.glb;output;20077721;;VZK
20077722_VZK.glb;output;20077722;;VZK
20077780_VZK.glb;output;20077780;;VZK
20077781_VZK.glb;output;20077781;;VZK
20077785_VZK.glb;output;20077785;;VZK
20077786_VZK.glb;output;20077786;;VZK
20078861_VZK.glb;output;20078861;;VZK
20078862_VZK.glb;output;20078862;;VZK
20080652_VZK.glb;output;20080652;;VZK
20080653_VZK.glb;output;20080653;;VZK
20080657_VZK.glb;output;20080657;;VZK
20080658_VZK.glb;output;20080658;;VZK
20082639_VZK.glb;output;20082639;;VZK
20082640_VZK.glb;output;20082640;;VZK
20083483_VZK.glb;output;20083483;;VZK
20087915_VZK.glb;output;20087915;;VZK
20088323_VZK.glb;output;20088323;;VZK
20088326_VZK.glb;output;20088326;;VZK
20089934_VZK.glb;output;20089934;;VZK
20089935_VZK.glb;output;20089935;;VZK
20089936_VZK.glb;output;20089936;;VZK
20089937_VZK.glb;output;20089937;;VZK
20089938_VZK.glb;output;20089938;;VZK
20089939_VZK.glb;output;20089939;;VZK
20089940_VZK.glb;output;20089940;;VZK
20089941_VZK.glb;output;20089941;;VZK
20089942_VZK.glb;output;20089942;;VZK
20089943_VZK.glb;output;20089943;;VZK
20089954_VZK.glb;output;20089954;;VZK
20089955_VZK.glb;output;20089955;;VZK
20089956_VZK.glb;output;20089956;;VZK
20089957_VZK.glb;output;20089957;;VZK
20089958_VZK.glb;output;20089958;;VZK
20089959_VZK.glb;output;20089959;;VZK
20089960_VZK.glb;output;20089960;;VZK
20089961_VZK.glb;output;20089961;;VZK
20089962_VZK.glb;output;20089962;;VZK
20089963_VZK.glb;output;20089963;;VZK
20089974_VZK.glb;output;20089974;;VZK
20089975_VZK.glb;output;20089975;;VZK
20089976_VZK.glb;output;20089976;;VZK
20089977_VZK.glb;output;20089977;;VZK
20089978_VZK.glb;output;20089978;;VZK
20089979_VZK.glb;output;20089979;;VZK
20089980_VZK.glb;output;20089980;;VZK
20089981_VZK.glb;output;20089981;;VZK
20089982_VZK.glb;output;20089982;;VZK
20089983_VZK.glb;output;20089983;;VZK
20091525_VZK.glb;output;20091525;;VZK
